60,三商行-北市五常分公司,臺北市中山區行仁里五常街４７號,121.539213,25.064402
61,三商行-北市和平分公司,臺北市大安區黎孝里和平東路３段３０８巷１５弄１，３號１樓,121.556213,25.020001
62,三商行-北市昌吉分公司,臺北市大同區揚雅里昌吉街６５號１樓,121.514666,25.065998
63,三商行-北市富陽分公司,臺北市信義區黎平里富陽街８１號１樓,121.556591,25.021388
64,三商行-北市德惠分公司４７２,臺北市中山區新庄里德惠街１１９號１樓,121.529961,25.066697
65,三商行-北投中央南分公司,臺北市北投區清江里中央南路１段１３３號１樓,121.501185,25.130071
66,三商行-北投中和分公司,臺北市北投區智仁里中和街４９９號１樓,121.494819,25.14518
67,三商行-北投石牌分公司,臺北市北投區永欣里石牌路２段３４２號,121.524811,25.122857
68,三商行-北投知行分公司,臺北市北投區關渡里知行路２２５巷１７號１樓,121.466123,25.120101
69,三商行-北投致遠分公司,臺北市北投區石牌里致遠一路１段９４號,121.515293,25.109514
70,三商行-北投振華分公司,臺北市北投區振華里振華街８號１樓,121.519685,25.115655
71,三商行-北投第二分公司,臺北市北投區新市街２２號,121.502086,25.132047
72,三商行-北投實踐分公司,臺北市北投區吉慶里實踐街５２號１樓,121.509302,25.115159
73,三商行-永吉分公司,臺北市信義區永吉路３５１、３５３號、３５５號１樓,121.576405,25.045645
74,三商行-石牌門市部,臺北市北投區振華里石牌路２段１２４號１樓,121.517352,25.117877
75,三商行-和平分公司,臺北市大安區和平東路２段５８號５８之１號１樓,121.538433,25.025357
76,三商行-延北門市部,臺北市大同區南芳里延平北路２段２８０號１樓,121.511143,25.062375
77,三商行-承德門市部,臺北市大同區至聖里承德路３段２０２號１至３樓及２０４號１至４樓,121.518218,25.069963
78,三商行-東湖第三分公司,臺北市內湖區葫洲里民權東路６段２９８號,121.605482,25.072713
79,三商行-松山八德分公司,臺北市松山區吉仁里八德路３段７４巷４５弄１號,121.552717,25.046243
80,三商行-松山南京分公司,臺北市松山區東勢里南京東路４段１３３巷５弄８號１樓,121.555417,25.052308
81,三商行-松山南京東二分公司,臺北市松山區新聚里南京東路５段２５０巷３６弄２５號,121.567432,25.049807
82,三商行-松山復興分公司,臺北市松山區民福里復興北路４２７巷１號１樓,121.544622,25.063427
83,三商行-松山新東分公司,臺北市松山區新東里新東街１２巷１號１樓,121.566276,25.05781
84,三商行-信義永吉二分公司,臺北市信義區四維里永吉路３２６巷５號,121.575585,25.045001
85,三商行-信義永吉分公司,臺北市信義區六藝里永吉路１８０巷６６弄２４號１樓,121.570554,25.043416
86,三商行-信義光復分公司,臺北市信義區正和里光復南路４４７之４０號,121.558521,25.035273
87,三商行-信義吳興分公司,臺北市信義區雙和里吳興街２８４巷１５之２號１樓,121.563757,25.024402
88,三商行-信義林口分公司,臺北市信義區大仁里林口街３６之３號１樓,121.579584,25.037786
89,三商行-信義虎林二分公司,臺北市信義區安康里虎林街１６４巷８號１樓,121.576202,25.038988
90,三商行-信義虎林分公司,臺北市信義區國業里虎林街２２２巷４６號１樓,121.57606,25.036615
91,三商行-信義莊敬分公司,臺北市信義區三張里莊敬路４２３巷８弄４號,121.567191,25.028449
92,三商行-信義福德分公司,臺北市信義區中行里福德路２６８巷２５號,121.58554,25.039933
93,三商行-南港玉成分公司,臺北市南港區鴻福里玉成街１７８號１樓,121.58455,25.04409
94,三商行-南港東明分公司,臺北市南港區東新里東明街９號,121.605293,25.056097
95,三商行-南港研究院分公司,臺北市南港區中研里研究院路２段１２巷１４弄２號,121.614791,25.047378
96,三商行-南港福德分公司,臺北市南港區百福里福德街３４６號,121.588559,25.03962
97,三商行-復北門市部,臺北市松山區民有里民權東路３段１１０號１樓,121.545142,25.061884
98,三商行-敦南門市部,臺北市大安區建安里敦化南路１段１８７巷１７號,121.550149,25.042668
99,三商行-萬華大理分公司,臺北市萬華區糖??里大理街１８１號１樓,121.494418,25.033903
100,三商行-萬華中華分公司,臺北市萬華區新和里中華路２段４２６之７號１樓,121.505714,25.027674
101,三商行-萬華萬大分公司,臺北市萬華區華中里萬大路４２４巷３９號１樓,121.496184,25.021327
102,三商行-萬華興義分公司,臺北市萬華區和德里興義街３３號１樓,121.491964,25.02675
103,三商行-葫州分公司,臺北市內湖區葫洲里民權東路６段２９８號,121.605482,25.072713
104,三商投資控股,臺北市中山區江寧里建國北路２段１４５號地下及１之１８樓,121.537374,25.061258
105,三通物流,臺北市松山區慈祐里八德路４段６９９號１１樓之１,121.576644,25.050207
106,三創數位,臺北市中正區市民大道３段２號,121.531021,25.045633
107,三福資產,臺北市中山區下埤里民權東路３段３５、３７號１１樓,121.5421961,25.06255024
108,三摩地,臺北市大安區義村里復興南路１段２２２號４樓,121.543488,25.039237
109,上恩資訊,臺北市中正區頂東里南昌路二段２２２號１０樓,121.524501,25.02381
110,上癮科技,臺北市大安區龍安里和平東路一段１４５號７樓,121.530667,25.026619
111,大大茶樓-南京分公司,臺北市松山區中正里南京東路３段３３７號３樓,121.547995,25.051963
112,大同綜合訊電,臺北市中山區集英里中山北路３段２２號,121.52173,25.064469
113,大同綜合訊電-北西分公司,臺北市大安區誠安里復興南路１段１６０號,121.54355,25.042164
114,大同綜合訊電-北西分公司中山服務站,臺北市中山區恆安里中山北路３段１３號１樓,121.522548,25.064178
115,大同綜合訊電-北東分公司,臺北市大安區誠安里復興南路１段１５４號,121.543552,25.042307
116,大同綜合訊電-北東分公司大同健康生活館,臺北市中山區復華里南京東路３段２２５號,121.543673,25.052049
117,大同醫護,臺北市大安區和安里仁愛路３段１３６號４樓,121.54142,25.037512
118,大安文山有線電視,臺北市文山區木柵路２段２０４巷１５號,121.563921,24.988127
119,大員昌實業,臺北市中正區黎明里館前路８號１０樓、１１樓,121.514895,25.045814
120,大員興實業,臺北市中正區黎明里漢口街１段１５號２樓至８樓,121.514401,25.04522
121,大師兄創藝,臺北市中山區埤頭里復興南路一段１８號１樓,121.543692,25.046723
122,大賀行銷,臺北市內湖區西康里０２６鄰內湖路一段１３６號２樓,121.563999,25.082758
123,大葉國際美食-內科分公司,臺北市內湖區港墘里瑞光路５１３巷３３號,121.57019,25.079863
124,大葉國際美食-松菸分公司,臺北市信義區新仁里忠孝東路四段５５３巷６弄６號１樓,121.563074,25.042215
125,大閤屋開發-南京分公司,臺北市松山區中正里南京東路３段３３７號４樓,121.547995,25.051963
126,大潤發流通事業-內湖分公司,臺北市內湖區湖元里舊宗路１段１２８號,121.57832,25.060963
127,大潤發流通事業-南湖分公司,臺北市內湖區湖元里舊宗路１段１８８號１之３樓,121.575989,25.062653
128,小林鐘錶眼鏡-大安分公司,臺北市大安區仁慈里大安路１段２１２號,121.545899,25.034559
129,小林鐘錶眼鏡-內湖分公司,臺北市內湖區紫星里成功路３段１６３號１樓,121.590208,25.079808
130,小南國國際,臺北市松山區吉祥里光復北路１１巷９９號地下,121.562403,25.050443
131,山隆通運-華中加油站,臺北市萬華區全德里萬大路３８８號,121.498692,25.021895
132,山隆通運-萬大加油站,臺北市萬華區新安里萬大路２０７號,121.500607,25.027162
133,中東食堂,臺北市大安區大學里羅斯福路３段２８３巷１７號１樓,121.531602,25.019273
134,中保科技,臺北市大同區玉泉里鄭州路１３９號１樓、鄭州路１３９號７樓,121.510087,25.050454
135,中保寶貝城-台北分公司,臺北市松山區復盛里八德路４段１３８號７樓,121.562447,25.048351
136,中國青年救國團臺北市大安運動中心,臺北市大安區臥龍里辛亥路３段５５號,121.546,25.0204
137,中國青年救國團臺北市中山運動中心,臺北市中山區中山北路２段４４巷２號,121.521563,25.054843
138,中國青年救國團臺北市信義運動中心,臺北市信義區三張里松勤街１００號,121.566756,25.031805
139,中華航空-台北分公司,臺北市中山區南京東路３段１３１號１樓,121.540663,25.052128
140,中華票服網路,臺北市中正區南海路２０號６樓,121.517011,25.032493
141,中華郵政,臺北市大安區永康里金山南路２段５５號,121.527182,25.032315
142,中華電信,臺北市中正區信義路１段２１之３號,121.523003,25.036419
143,中華電信-士林文林服務中心,臺北市士林區福德里文林路４３２號,121.524832,25.094616
144,中華電信-士林夜市服務中心,臺北市士林區仁勇里文林路１５８號１樓,121.526868,25.089067
145,中華電信-大安服務中心,臺北市大安區德安里信義路４段８９之１號,121.546552,25.033552
146,中華電信-大直服務中心,臺北市中山區北安路６６２號１樓,121.549391,25.083733
147,中華電信-大橋頭服務中心,臺北市大同區隆和里延平北路３段６８號１樓,121.510945,25.065523
148,中華電信-五分埔服務中心,臺北市信義區永吉里永吉路５２５號１樓,121.580319,25.045537
149,中華電信-內湖成功服務中心,臺北市內湖區紫星里成功路３段１３５號,121.589886,25.079377
