肉鬆飯糰,23.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
春風抽取衛生紙110抽*10包/串,89.0
39　白吐司,25.0
34　香蕉（屏東蕉）,59.0
82　生活泡沫綠茶,22.0
82　生活泡沫綠茶,22.0
CD生活泡沫綠茶,21.0
核桃胚芽穀粉,98.0
波的多洋芋片(蚵仔煎味)82g/包,29.0
國光牌無煙120二行程機車專用油,66.0
國光牌無煙120二行程機車專用油,66.0
國光牌無煙120二行程機車專用油,66.0
杜老爺曠世奇派-榛果那堤4支/盒,83.0
波的多洋芋片(蚵仔煎味)82g/包,26.0
FP碳鋅電池20入/組4號電池,52.0
Sunkist芭樂柳橙綜合果汁飲料,25.0
歐風巧克力蛋糕,25.0
九二無鉛汽油,25.6
飲冰室茶集烏龍奶茶400ml(盒),25.0
乖乖五香大,20.0
遠傳大寬頻ADSL網路月租費,166.0
69　３Ｍ封箱膠帶,17.0
15　統一肉燥麵包,16.0
A4黑白列印ibon,2.0
波蜜果菜汁ＴＰ,15.0
伯朗咖啡,20.0
麥香水沙連風味奶茶,28.0
義美古早傳統豆奶,23.0
紐西蘭帝王鮭飯糰（三,28.0
卡迪那德州薯條量販包42gx4包/袋,53.0
日式風味蟹棒270g/30支/包,71.0
婦友醬油1600ml/桶,44.0
克寧高鈣全家人奶粉2.3kg/罐,515.0
茶裏王白毫烏龍PET600,20.0
中興九號米12kg/包三等米,529.0
手續費,60.0
我們的克林姆麵包,25.0
光泉豆漿,20.0
肉鬆飯糰,23.0
極餐野海苔(原味),59.0
極餐野海苔(原味),59.0
極餐野海苔(原味),59.0
極餐野海苔(原味),59.0
Sunkist柳橙果汁,24.0
極餐野海苔(原味),59.0
極餐野海苔(原味),59.0
天仁防潮包綠茶2公克x100包/盒,139.0
北海鱈魚香絲歡樂包,199.0
寶卡卡原味量販包33gx4包/袋,52.0
樂事波樂厚片組合包43gx4包/袋,53.0
13　波的多蚵仔煎,35.0
